ingre,tfidf
현미밥,0.5524359684
오미자,0.6240619024
조선간장,0.5522961716
럼주,0.5070710642
건미역,0.5994634231
돼지등갈비,0.5411016723
누룽지,0.6093838218
오레오,0.5811187041
두유,0.5202314781
청포묵,0.6397570352
관자,0.5379822914
참외,0.5744811921
비트,0.5368488803
허니머스타드,0.4830102571
냉이,0.5409864616
수삼,0.5676013251
돈가스,0.5513394169
돼지갈비,0.5051449851
동태,0.5287181261
메밀가루,0.6195550031
메밀,0.5590436031
요구르트,0.6073132478
미역줄기,0.6603679164
옥수수전분,0.4995733128
돌나물,0.5515687562
백년초가루,0.5650743617
초코칩,0.4532634741
핫케이크가루,0.6161219546
돼지등뼈,0.4903489596
간생강,0.5014452201
캐슈넛,0.5053801723
대하,0.5489120889
우럭,0.5917332881
감태,0.6575863819
적양배추,0.4702662635
땡초,0.5152392523
우거지,0.5299244505
닭안심살,0.5831182745
보리,0.5784106565
아롱사태,0.671447
표고,0.4862745536
녹말,0.4420286029
꽁치,0.6060579153
헤이즐넛,0.5682226484
옥수수캔,0.5682000031
롤라로사,0.5212925875
마늘종,0.562780026
영양부추,0.5379728461
까나리,0.6114733008
머위대,0.6442289612
서리태,0.6693973751
페퍼론치노,0.4921041363
열무김치,0.5668677549
한우,0.5341848823
멸치다시육수,0.5549825711
딸기쨈,0.5506464738
머스타드,0.4592231449
황태,0.5155475335
사골,0.55275369
플레인요구르트,0.560228464
홀그레인,0.4866145811
돈가스소스,0.5047477855
녹말물,0.4964590262
닭육수,0.5085120001
감귤,0.6398663906
바질페스토,0.5365658909
카놀라유,0.47478221
율무,0.6967570306
술,0.3
삼치,0.5838123032
단감,0.582775004
중력분,0.4403906256
허브솔트,0.4627833173
월계수,0.5031189495
샬롯,0.4983466662
참치액젓,0.5155804519
귀리,0.5953943233
죽순,0.4985044688
화이트와인식초,0.5662472025
통밀가루,0.4950315457
홀그레인머스터드,0.4922815673
얼갈이,0.5285070477
오트밀,0.5331939248
완두콩,0.5034042621
비지,0.5769372188
시래기,0.5080188669
무가당,0.5215469122
부채살,0.6112857237
치아씨,0.6037344091
짜장가루,0.5976730703
꽃상추,0.5766589432
스파게티소스,0.5071196002
검은콩,0.6414593388
렌틸콩,0.5989286305
목이버섯,0.4644690026
꽁치통조림,0.6177826488
베트남고추,0.5040246903
코다리,0.5445905183
게살,0.6029153969
황태포,0.6189901481
미원,0.5318032754
메주콩,0.684542996
고니,0.5780995673
양고기,0.6565206302
마가린,0.6155803913
차이브,0.6045715715
황도,0.6298084264
강낭콩,0.5760392431
인삼,0.5091872911
레몬청,0.5629990473
튀김기름,0.5469318131
닭봉,0.5636423244
살라미,0.5628770313
현미,0.5228428819
자몽주스,0.6398897114
사과즙,0.5039003548
숭어,0.6396288022
허니머스터드,0.4874912303
대파뿌리,0.5324814271
콜라비,0.617158161
고다,0.5681379896
오징어먹물,0.605036899
북어,0.5584016105
적겨자,0.5364361354
실고추,0.5529134125
마카다미아,0.5594903241
건크랜베리,0.4972858593
캔참치,0.6016900882
적상추,0.6208341722
베이비채소,0.4993839092
낫토,0.7213106227
봄동,0.5450107511
곶감,0.6362790445
가자미,0.5848923441
무화과,0.5620330454
바닐라오일,0.4822039268
밤고구마,0.6770647374
피칸,0.4890330215
흑임자,0.5535049137
고구마줄기,0.5948394605
코코아,0.5397660414
그뤼에르,0.6144558588
허브가루,0.5056118829
무염버터,0.4225657742
카카오,0.5665275595
용과,0.6107337857
호박씨,0.4857727109
새우가루,0.5216429669
에멘탈,0.5663149936
아가베시럽,0.516471812
현미식초,0.5809240482
참치액,0.414967938
양배추잎,0.5891082205
유채,0.6606408766
곰취,0.6880502805
멍게,0.5751269794
톳나물,0.7457459601
탈지분유,0.5131927643
표고버섯가루,0.5192628889
베이킹,0.4616200546
단호박가루,0.5300807326
사탕수수,0.7023216693
슬라이스아몬드,0.5185470476
조림간장,0.5653331794
울금,0.6350464803
생강청,0.4830832942
홍어,0.6248179786
벌꿀,0.6274269354
집된장,0.5112110183
김장김치,0.59633426
집간장,0.5261629293
파르메산,0.5541268687
찹쌀풀,0.4880786268
과메기,0.6625541686
북어채,0.6299195302
당귀,0.5519790223
홍삼,0.5870027596
엄나무,0.597983197
조미료,0.5692053959
딜,0.3
대합,0.6283475916
코코넛오일,0.5583935816
상추잎,0.6429332629
들깨,0.5787246639
청어,0.6740319388
대두,0.6802422512
캐슈,0.599656245
다시물,0.5408690888
잔파,0.5214787711
통삼겹살,0.586240618
밀가루박력분,0.5106213121
청양초,0.4713372735
스테비아,0.5880248069
검정깨,0.5318093354
미향,0.5223731627
아몬드파우더,0.5155550654
살치살,0.6324699555
식용류,0.5908764229
백후추,0.511964894
해바라기유,0.6219908619
흰설탕,0.5512435391
상치,0.5355929482
어간장,0.5691686702
박력쌀가루,0.5088414887
우리밀,0.5111257929
꽃새우,0.6293098844
가는소금,0.5718280669
소고기다시다,0.5531226166
굴비,0.6764215192
보리새우,0.5912845758
애느타리버섯,0.5588073016
소라,0.5795071736
크루아상,0.615682943
톳,0.3
살구,0.5797492171
유자,0.6214723632
카이엔페퍼,0.6187223094
오이지,0.6770075149
완두,0.5795608329
만능간장,0.6486302841
흑미,0.5615888134
죽염,0.5699261859
양상추잎,0.6251511473
LA갈비,0.3
고구마순,0.6371157009
호밀가루,0.5632438434
총각무,0.5983152488
감식초,0.509417193
올방개묵,0.6987026547
적포도주,0.5476907541
돼지감자,0.6752364101
북어포,0.6116716054
흑초,0.6624378018
열빙어,0.7309988355
인스턴드라이이스트,0.5475755507
애플망고,0.6750933057
우무,0.6524910026
천연조미료,0.489494317
중하,0.576958784
건두부,0.5923992601
곰피,0.7113531971
홍당무,0.5926564503
레몬그라스,0.5657996354
고추씨,0.5132605784
흰다리새우,0.5869528162
물미역,0.6858301336
호박잎,0.6291345829
오디,0.6570418571
뱅어,0.7114855979
한라봉,0.6665947878
해바라기씨유,0.5615683252
양파청,0.5464801369
정향,0.4773365507
천연조미료육수,0.5566043493
노각,0.6690544154
라디치오,0.5255955328
산초,0.521081836
백선,0.5897717065
민어,0.6106082639
킹크랩,0.6561391986
오크라,0.7376876954
할라페뇨,0.5894827995
백태,0.6836435979
갓,0.3
엿기름,0.7875412852
양파가루,0.5331696122
서대,0.6719495974
황기,0.5208348297
동죽,0.6506801435
차조,0.6040344337
소꼬리,0.7023376023
간고등어,0.6651752845
대추씨,0.5916796283
유지,0.6267755904
육포,0.7064154205
겨자잎,0.5600398409
프로슈토,0.5873131938
박대,0.6822059993
피조개,0.6620709515
머위,0.6291866127
다시마가루,0.5532088677
검정콩,0.649357817
백포도주,0.6071241358
양미리,0.6657994431
금귤,0.6752901902
석이버섯,0.5618681361
야콘,0.6825095248
도루묵,0.6647300025
순무,0.6603220869
해삼,0.5098107375
파파야,0.6335987921
상황버섯,0.6193146016
파인애플식초,0.6103508642
메기,0.609794495
방어,0.6598946399
기장,0.5841241552
개복숭아,0.6921731643
전어,0.6420726362
매실식초,0.6386088369
유채유,0.5988605054
모자반,0.763692233
도다리,0.6631883255
새조개,0.5770732708
노가리,0.6318260091
선지,0.5589635903
콩잎,0.7583360888
쇼트닝,0.5866376645
재첩,0.8132792027
수수,0.6112121374
칡,0.3
연잎,0.5894701551
헛개,0.6263830941
고들빼기,0.648845881
옥돔,0.7932976076
능이버섯,0.597685196
씀바귀,0.7381019921
흰콩,0.6597815622
박고지,0.5960842505
청각,0.619380361
원추리,0.7409966214
농어,0.6433794595
우뭇가사리,0.6909374508
다슬기,0.684697802
다래,0.616772582
메주,0.7075830738
성게,0.702351834
흰강낭콩,0.8023724604
래디시,0.6039205366
미꾸라지,0.6000768888
스위티,0.720351546
노루궁뎅이버섯,0.6665742922
패션후르츠,0.8364249435
히비스커스,0.6605478198
산마,0.6416286346
아오리사과,0.7318324938
그라나파다노,0.5735036029
